"【インタビューのポイント】
カスタマージャーニーをとにかく深ぼる！
　└「行動」＞「気持ち」＞「意識」の順に深ぼる！
┗Twitter、サファリとか、色んな媒体で色んな人の意見も聞く","大学生時代
┗外見にお金かけていた（服とか）
┗あとは飲み代


美容代2〜3万円（社会人以降）
┗食事とかサプリとかに変わった
┗お風呂に持ち込めるものにお金をかけましょう
　┗Tiktokとかで知識、スキンケア、サプリ","・スキンケア（5000円以上）
┗中町あやのコスメラインは揃えてる
┗食生活もマネしてる（アサイーとか）
・洋服
・マツエク
・ネイル（自分でやる）","・中町あやのスキンケアラインはすぐ買った
・あんまり検討してない（値段が低いので）
・ちょっと口コミを調べたが、深ぼってない","何日間かあっためておくようにしてる
スマホで美容フォルダ作っておいて、数日後に欲しかったら買うマイルール
┗リスクヘッジする癖がある","・前歯が出てる
・下の歯がガタついてる","・コロナが明けるくらい（2〜3年前）
・友人が始めた（マウスピース矯正）
　┗虎みたいなマークのとこ
・大学4年の時に購入（失恋）
　┗失恋した時の彼氏が歯並び綺麗だった（ワイヤーで昔からやってたポイ）
　┗月あった当時は、自分のこと歯並び悪いと思ってなかった
　┗失恋してから自分の容姿に気を遣うようになった","・半年から1年くらいの期間考えた
・ワイヤーは値段的に無理","・歯を磨くとき
・メイクする時は感じない
・髪をセットするときに合わせ鏡で横顔見る","・ネットでパッと見る
・値段
・HPのデザイン
┗親近感(すっと信頼できた)
　┗ガチャガチャしてるとこはなんかやだ（〜％OFF！とか）

ワイヤーは高い（100万くらいする）→マウスピース矯正しか考えてなかった",・友達がやってたから,"・中町あやさんのYoutube
・口コミ（Googleマップ）
　┗4.0じゃないと行かないルール
・安くできそうだな〜と思った
・抜歯、セラミックはやだ
・ジャンルは整形のくくりに入ってる
　┗当時の彼氏曰く、矯正は歯の整形らしい笑","初診時は契約する気だった
ProプランかBasicプラン

契約するならBasicだった
Proになるなら契約はしないと伝えていた",存在知らない,"シュミレーションが来たのでよかった。
必死に矯正したいと思ってたので、欲は別になかった

バイトたくさんしてた
┗結婚式場
┗コンビニ
┗居酒屋
→バイトが好きだった（）","マイナスぽいんと
┗池袋、場所が分かりづらかった

いい意味
┗矯正歯科っぽくない
┗ラフな格好してる
┗好きな、痛い","ずっと痛かった。
交換後2、3日いつも憂鬱だった。","親に歯を見せた時に、
事後報告にこういう。

綺麗にめちゃくちゃなった

人と話すときに自信持てる
鏡見なくなった",,"20分くらい遅れてしまった
→丁寧すぎて逆に申し訳なくなった"
卒業,ug764,宮崎のどか,20,東京都品川区八潮5-10-48-406,東京都,明石,https://drive.google.com/file/d/1i7_IzSst3HW1ju3CaUXB7BqgHZ5fOZbp/view,オーガニック（比較記事で知り、HPで予約）,女性,"大学生（3年生）
┗休学してる
┗他にやりたいことができた",〜300万,独身,"ライブ（Nissy、Bfarst）
音楽","友人と一緒にいる
┗出かけることもあるが、どちらかの一人暮らしの家に行く
┗推し活（）
┗祖父と一緒に
┗ネトフリ：コナン、海外の（脱出おひとり島）
┗Youtube：大食い動画（食べながら。我慢）、おすすめに出たら見るくらい（前までは通知オンにしてた）
　┗メイク動画とか。チャンネル登録者少ない
　┗最近はショート動画（インスタのリール）

ミステリー系の小説（東野圭吾）
┗姉から2個上（）","Tiktokは好きなアーティストが投稿し始めて見始めた。
見始めたら止まらない（自制してる）

おすすめの品も買ってた
ツイッターで見てた
1つフォローしてたら、口コミ
┗ツイッターが長い

特定の信頼してるアカウントはない
┗案件も結構あるんだろうなーと思いつつ、リアルも見ていく","・美容代3000〜5000円
┗スキンケアは買いだめしてる
┗かからない月もある
┗マツぱくらい

・美容室は別","・脱毛（高校の時に終わった。15万円くらい）
┗ツイッター
┗美容脱毛→医療脱毛（4万円、5回くらい）

・フォトフェイシャル（3万円行かないくらい）
┗ツイッター

・レーザー治療（ほくろとった。2万5千円くらい）
┗ツイッター（ダウンタイムの経過）","医療脱毛
┗友達から紹介
┗他に比べて

ネットの情報が多い
┗美容系：まつ毛美容液（1万5000円）
　→ネットで検索。インスタも見づらくなった。タグ検索で投稿が見づらい（前はおすすめと最新が見れた）
┗それ以外：乾燥機（6万円くらい）
　→新しいタイプでTikはなかった。インスタも見た。アマゾンの口コミ","広告からものを買ったことは？
┗着圧ソックス
※

そればっかり出てくるようになった
┗いやになった","・上の前歯が出てる、斜めに生えてる
・下の奥に入ってた","・中学生2〜3年生くらい（兄弟3人くらい）
・元々綺麗な人がいた、矯正ワイヤーやってた

・それぞれ矯正したいって言ってた
　┗全員100万円以上はきつい

・高校の時はマスク生活だったから、そこまで気にしなかった
・マスク生活が終わって、より始めたい気持ちが強くなった

・地元が長野
　┗通わないといけない（ワイヤーしかない。ご飯が食べにくい）","矯正自分のお金で始めた

兄がワイヤー（つらそうだった）
┗奥歯は矯正しなくても良いかな

","・メイクする時、リップ塗る時
・歯並び良い人見た時（芸能人とか見た時）

・海外は歯並び気になる",,"マウスピースはなぜ知ってた？
Youtubeでインビザやってる人を見た
┗たまたま、メイク動画でマウスピース（大学1年の頃）
┗知らなかったら多分ワイヤーやってた。

比較記事。
通わなくていい。公式サイト。
┗他社は行ってない
┗大体決まった上でシミュレーションみよう！

通うのが、無理だと思ってた
┗決まった日に行くのが好きではなかった","・Basic、Proがあるのは知ってた
・Basicかなーくらいだった
┗",,・値段,"特になかった
┗口コミ（Googleマップ、ツイッター）
　┗ツイッター：サービス名、マウスピース矯正
　┗ネットで
┗ちゃんとできてる人がいるのであれば。","スキャン
┗面白かった（こうなってるんだ〜）
┗時代を感じた

すぐ契約した（親にLINEした）
┗友達みたいに話す関係性","初日は痛かった
その日は痛かった
┗兄が痛かったらしい（まだ食べられるなぁくらい）","親に言われた。周りに言われた時
自分は思ってなかった（毎日見てたので変化に気付けなかった）
シュミレーション動画で見たときに

何も気にせず笑えるようになった（ちょっと気になってる部分があって）
┗写真撮る時も笑えるようになった
┗マスク外した時に笑ってなかったかも",,
卒業,,御厨ありさ,29,大阪府大阪市住吉区山之内2-9-25,大阪府,明石,https://drive.google.com/file/d/1YOvp1PPr0cO5sbrSLrvgHV268oXIvNQx/view,,女性,"プロジェクトマネージャー
┗IT（ベトナム）
┗ベトナム人エンジニア
┗ホーチミン

大学（神戸外大）",300〜500万,独身,"ワイン
podcast
色んな国の人と遊ぶ（ベトナム、ワインのイベント）",アウトドア,"インスタ（）
Youtuber（アサギーにょ）
┗ライフスタイル系","15,000〜20,000円
┗ネイル（3000円）
┗美容院（15000円）
┗マッサージ（3000円）
┗ピラティス、ヨガ（週2〜3日）

大阪（）→長野（4年）→インド（8ヶ月）→日本（3ヶ月）→ベトナム（6ヶ月）","・美容脱毛

・医療脱毛","・美容脱毛
　→友人と一緒に行った

・医療脱毛
　→2社行った（1社目は遠くって、あんまりちゃんと通えなかった）
　→2社目はDMで誕生日のクーポンが届いて、家も近かったのでとりあえず行ってみたらめっちゃ良い感じだった","・日本に3ヶ月いた期間は試しまくってた
　┗良かったものもある

・続けているもの
　┗拭き取り洗顔（3000円）","・元々悪くなかった
・徐々に悪くなったから、今のうちに始めようと思った
┗若干","・去年の今頃（インドいる時、6月）
┗帰国したらやろう（9月）
┗写真を見た時","・インドにいる時から予約してた
・地元の歯医者にも電話かけたが、住民票戻したが、見てもらうだけでもお金かかる。
・マウスピース
・通院ができない",友達に撮ってもらった写真を見たタイミング,,"マウスピース矯正してるインスタグラマーのコンテンツがあった。
こんなのあるんだ〜
→ちょっと歯並びのアンテナ立つ","1番安そうだった。
海外に行く関係で通院できないので通院不要なのがよかった","・やろうと思ってた
・一括",・OMT以外検討していない,・特にない,"スキャン
┗めっちゃすごい！！","痛かったのは最初の1枚目
それ以降は痛く
┗楽しんでやっていた","スキマが無くなったのでこれ大丈夫かな？
写真の写りも多少気にならなくなった",,
卒業,,兵藤茉未,28,"新宿区新宿7丁目12-3フェニックス新宿803号

実家：愛媛県（社会人で転職）
※2年",東京都,明石,https://drive.google.com/file/d/1HEFdU_o1wy2Mu5TJpJmDWpi9DafLmTPi/view,,女性,"コールセンター→
カメラ販売員",300〜500万,独身,"楽器、作曲など（大学で軽音系サークル。4年）
イラスト描いたり
温泉巡り（弁天湯）","インドア
┗アニメが好き","Youtube（節約系。投資とか）
はじめしゃちょーとか？固定
Tik：作曲系、音楽系
インスタ：ファッション、","3,000〜5,000円","脱毛サロン（美容）
→医療脱毛
3年前くらいから

→大手","ネットから。
まとめサイト→値段、効果、口コミ、通いやすさ
口コミが良すぎるのはサクラ？って怪しむ。
改善点が多少あった方が神羅性がある（バランス）

→候補絞られたら体験系の動画を見に行く","広告
医学的根拠がある
結果が出てる",・前歯横の歯が斜めっている,"大学（軽音系のサークルだった）
→歯並びが気になる！ってヤジが飛んできた（本格的に意識）

歯医者に行って見積もり出してもらった。
手術必要だった。こわ！120万円くらい
他ないのかな、、？って調べてて、マウスピースが当たった",,"歯磨きで毎日不快に思ってる。
磨き残し
→矯正しますか？って言われてた

写真撮る時。誰かに撮ってもらう時

小さい時から小児矯正は提案されてた。学校の友達",,,"ブログ。
マウスピース矯正が出てきた。",,"その他マウスピース検討してた
┗キレイライン
┗インビザライン
→通院などかかる

Youtubeの動画見てた
私はどういうやり方がいいかな？
通う頻度が少ないこと
┗ちょっと怖かった（専門の）
┗33万円(本当にできるの？)
┗違うところあってもいいかな？

→転勤がある会社だったから",,"最新機器がいっぱいあってすごい！
┗安心感

普通の店舗
┗

すでに決めてた！
┗プラン、","泣くほど痛かった
1〜2枚目がちやばい

","6ヶ月くらい
┗3、4ヶ月目までは実感なかった
2ヶ月前くらいから変わっていった

大学の時の友達に久々にあって、気にならなくなってきたね

販売の時はマスクをしていた
→お客さんと話す時も笑顔になれた",,
卒業,,唐沢佳奈子,36,東京都渋谷区東4-12-7Dグランセ広尾202,"東京都
ずっと東京？
→",明石・大橋,https://drive.google.com/file/d/1VyI9S4DM-r7XX3_QXuWo1etMCUEJPBN6/view,af_ad-lavi_NumFB,女性,"自営業（エステ）
いつから？
なぜ独立？
→10人

会社員
→エステ","900〜1200万円

いつからこの水準になった？",独身,"旅行
→スペイン","友達とどんなとこ行く？
何が流行ってる？マイブーム？
※ライフスタイルふかばる

ヨガ（週1）
→運動不足

カフェ
お買いもの（表参道）
┗100万単位
","Instagram（多い）
┗なんでも
┗美容意識の高いインフルエンサー

X（見ない）
Youtube
┗Youtuber
　┗旅行、ファッション

その他メディア（ブログ）
┗芸能人(川崎希)","可処分所得↓
70万円

美容
20〜30
エステ、ヨガ、音色、まつ毛、化粧品、マッサージ
美容皮膚科
","脱毛
┗以前もやってたが、より完璧にしたいみたいなニュアンス
┗エスクリニック（恵比寿、広尾で調べてた）

ダーマペン
┗めっちゃ良かった
┗知人から聞く。インスタ、Xなどの美容の投稿から

フォトフェイシャル
┗
ボトックス注射
┗めっちゃ良かった
┗何が良かったの？どういうモチベから？？
┗ベネフィットを感じるシーンはどこなのか？

レーザー治療
┗
ハイフ(周りの友人もやってる)
┗めっちゃ良かった。
┗口コミをめちゃくちゃ見る。Googlemapとか、その他色々

歯の矯正
┗人からの",最近買った高価なもの,Youtuber,"下の歯のガタガタ
親知らずを

圧迫されてるから。","7年前に親知らずを抜く、抜かないの話になった


マウスピース
┗100万円
┗

キレイラインを卒業したが、
もうちょっと気になるなーと思い、改めてやろうと考えた",,"写真では歯を出さないようにしてる
ちょっと気になる
","周りにやってる方多い？
金額のイメージは？
そもそも矯正ってどういう位置付け？？

ワイヤー矯正が多いかった

マウスピース",,"・広告
・色々サイト見て比べた
┗通わなくていいのがいい（OMTを見て、）
┗安い。症例",,"インビザ
キレイライン",どこまで見てもら,"時間もかからない
内装がおしゃれ
歯医者さんぽくない",2日、3日,"次のステップに行く時
┗
シュミレーション
┗ほんとに治るのかな〜",,"ポップアップイベントにも行く。
→ファッション、好きな化粧品
公式アカウントフォローしてる

百貨店でやってたからやってたみたいな感じ。
印象残ってるものはない。
事前告知でも覚えていないことが多い

1人でポップアップイベントいくことが多い

・プライド高そう
・ハイフやってる周りの友達の属性知りたい。
・比較検討めちゃくちゃしっかりやってる。"
卒業,,渡辺 詩穂,28,東京都江東区白河4-3-1-1011イーストコモンズ清澄白河セントラルタワー,東京,明石,https://drive.google.com/file/d/1em3P3-3GDulDK7Ad6cR52dpj8oXLspaG/view,,女性,会社員　不動産事務,300〜500万円,"同棲（既婚）
2年前→4年くらい

専門卒
高校
同期の中
┗彼氏が3個上（周りが結婚してた）
　┗一緒に住もうはやだ（実家に住んでた）
　┗一緒に住むなら

名前が変わるのが嫌だ
必要がない（なんのため）
一人っ子だった。親御さん心配
許せない。

ここが許せない（価値観の違い）
・掃除の頻度
・お財布は別（本当は話合いたいが）","・編み物、毛糸
┗Youtubeとかでバック

・ピラティス
┗先月始めたばっか
┗運動しなきゃな、きついの嫌だ
┗レッスンがある
┗キラキラしたところは苦手

ZEMピラティス
┗起きたままで行きたくない
┗周りを

旅行：石垣島
┗熱い。シュノーケリング
┗なぜ？国内の方が良かった。行きたいところがない。
　┗3回目。のんびりしたかった。何にも考えないところ
┗5万くらい。　

┗安さ→飛行機","近くに公園。
ブルーシートでぼーっとしてる。
┗解放感を感じたい
┗外には出てる

家にいる時間は、
出かけるなら旦那さん（うどん食べに行こ。買い物行く。歩いて行けない買い物。食器洗い洗剤。詰め替え。エコストア→飛ばすで1本）
※母がオーガニック狂

実家帰る
ネイルとか

友人は？
┗数は多くない。定期的にはあってる。
┗あった時に次の予定を決める
┗ネタを溜めておく（恋バナ、重めな話す）

結婚生活について。
仕事とのバランス

お子さんは？","X
┗リアルな友達ではなく、界隈の友達とやり取り
┗おすすめをずっと見てる（美容、ジュエリー）
　┗うないいちどう
　┗日焼け止め（丸の内OLから買った）→PRってついてるか見てる
　　┗いろんな人がいい。って言ってる
ステマだろ！！って思う。ブランド力あれば買う
名もなきブランド（）
買い漁るタイプではない

あっとコスメ→Google検索

インスタ
┗美容系（丸の内OLの憂鬱）、ジュエリー（値上がり情報）、犬
┗リール見ちゃう。ロックされる
Youtube
┗韓国のアイドル
┗旅動画（Vlog）：おじさんがやってるやつ（しげ旅）
　┗知らない国、絶対行かない国

Tiktok
┗怖い。時間が溶けていく。
┗入れてしまう。絶対に見て","<合計>


<美容>
固定費：2万5千円
┗ネイル（恵比寿のveil）
┗まつぱ（実家の近く）→担当の話が面白い
┗眉毛サロン（地元の方：千葉、船橋）→都内にもある。優しい
　┗表参道怖い（アナスタシアミアレ）","脱毛（医療）
┗5、6年前
┗地元の近く（イデア美容）
　┗ネイルサロンの人に紹介してもらった
　┗やすく感じた、初回で行った
　　┗60万くらい（お金に余裕はなかった）
　　┗彼氏がいた：
　┗大手いかなかった理由は？
　　┗友達が初回行った（勇気が出ない。料金の仕組みが難しそう）

エステに騙された
┗痩せる系
┗道歩いてたら怪しい。ホイホイついてった。
┗綺麗だから！って言われて嬉しくて、LINEでやり取りした
┗やりに行った。無料だから！契約したら。

ベルベットスキン（どこで？）
┗ダーマペン→コラーゲンピル（イデア美容皮膚科）
┗今もやってる。1ヶ月に1回通ってる。去年10月くらい
　┗結婚式：10月末。もう無理だな。6回くらい。
　┗20万くらい
　　┗知ってる。ダウンタイムでうるさくされるのが嫌だ。
┗イデア
　┗安心感。色々調べたが分からん！！1回やってる信頼。先生は
　┗損したくない。めんどくさい。確実な方法。
　　┗ベルベットスキン→1個ずつ見る→解決方法知らなかった→イデアで何個かあったから
めっちゃ安いとこあった。全然綺麗になってるし。","何で検索する？

なんの情報を信頼する？",気になりはする,がたつき（上下）,"何年か前。
2、3年前（コロナ禍）
→それまでは気になってなかった
1枚の写真がトラウマ。

昔から悪くはあった
歯医者から言われた。高くて痛いよ。
高いの申し訳ないな。

旦那さんに撮ってもらった。
歯のこと含めていじられた。
あーひどいな。治すか。

結婚式場契約したタイミング。",,,,"知ってた。
Youtube、コスメの人。
インビザラインで知った

ワイヤーのイメージ：
抵抗あった。
昔からマウスピースしてた。似てるジャーン！

マウスピース矯正で検索→
SNSでやってる人→
料金重視。

インビザはスルーした。
キレイラインの方が見たことがあった。
わかりづらかった。フローとか見えなかった。
分かりやすい。シンプルだった。
1ヶ月間悩んでた。たまに調べる。

結婚式だ！時間がない！！歯のスキャンするだけだし。",,"ちゃんとしてそう
何ヶ所あります
┗なんか怪しい
┗働いてる人が普通そう

歯並びによってはBasicではできない。
持ち帰って考えようと思ってた。

大丈夫そう。
┗設備。普通そう。安心できる要素
┗でも、心配だったから、ローンを選択したが、入力しといてください→逃げるチャンスありそう→審査が知ってる会社だった→オリコ",,"ワクワクしてた。いつ届くんだろうな〜

ほんとにあの箱で届くのかな。
嬉しかった。
",,"会社休んじゃおうかくらい痛かった。4日くらいがち痛かった。
死んじゃうくらい痛かったら相談してください。
┗","写真毎週送る。
見比べた時に、動いてる！ってなったタイミングは嬉しかった。
結果が来るのも楽しみにしてた。
┗合格発表（）

後半くらいで満足してた。やめちゃってもいいなー。くらいだった。
歯出して笑えるようになった。",,
,,大野あかり,31,東京都世田谷区祖師谷1-10-10２０５,東京都,明石,https://drive.google.com/file/d/1-c8FnSOoWgT7lfuxnF9Kx6guyDYncD9a/view,,女性,"保育士

実家が愛媛。
仕事で

東京怖い。こういう",300〜500万,独身,,"友達と出かける
┗地元

交友関係は狭く、

飲みに行く
┗恵比寿、銀座、有楽町
┗友達：美容師、会社員
　┗仕事の話。恋愛、旅行の計画（ハワイ：10万くらい、亜Hレプラに、12万円、オーシャンビュー）

映画見る
┗洋画（ワイスピ、ハリーポッター、ドラマとかも見る）
　┗好きな俳優さん（山崎賢人、ジェイソン、トムホ、チャーリーと、デューン）
┗コナン、ハイキュー、実写化","Youtube
┗武まりさん、石井亜美（）、しおりちゃん（食とグルメ。女の一人はしご酒。Vlog）
┗仕事終わって、家に帰って、ご飯食べるタイミングでみる（）
┗朝5時半、7時くらい（1時間）→

インスタ
┗リール見ない（投稿）
┗旅行先の情報、洋服、ご飯
┗目的もなく、見ることはそんなに、文字情報
┗インスタグラマー
┗旅行系：Halohalo
┗グルメ：りょうくんグルメ（カフェ）
ストーリーは上げる：日常のこと
ハワイ

X：流れてくるやつを見ている
最近はコスメ、それまではお洋服で楽天ROOMのリンク
┗値段は？：1万くらい。リンクに富んだ→アプリに移動して、知ってるものなら見ずに買う","＜自由に使えるお金＞


＜美容＞
8000〜12000円
┗0円（）
┗","脱毛

フォトフェイシャル

レーザー治療

ボトックス注射
→ピオーネクリニック、品川、インスタで美容垢フォローしてるから。ここから。口コミ。先生がインスタやってる。直接先生をフォローしてる。

補填座
日コスぽっっと（シミ取り）→リアンクリニック
トーニング（軽いレーザー）
